town,total_parcels,addresses,percent,category
Monroe ,2,2,100.0,✅ Has Addresses (90%+)
New Milford,13713,13713,100.0,✅ Has Addresses (90%+)
NORFOLK,1264,1264,100.0,✅ Has Addresses (90%+)
NEW HAVEN,26858,26858,100.0,✅ Has Addresses (90%+)
WINCHESTER,7710,7710,100.0,✅ Has Addresses (90%+)
Morris,1336,1336,100.0,✅ Has Addresses (90%+)
Deep River,2218,2218,100.0,✅ Has Addresses (90%+)
Middlefield,2294,2294,100.0,✅ Has Addresses (90%+)
East Haddam,5896,5896,100.0,✅ Has Addresses (90%+)
East Hampton,6260,6260,100.0,✅ Has Addresses (90%+)
MERIDEN,16506,16506,100.0,✅ Has Addresses (90%+)
Waterbury,29305,29305,100.0,✅ Has Addresses (90%+)
Sterling,1817,1817,100.0,✅ Has Addresses (90%+)
Fairfield,19620,19620,100.0,✅ Has Addresses (90%+)
Kent,2042,2042,100.0,✅ Has Addresses (90%+)
Glastonbury,15315,15315,100.0,✅ Has Addresses (90%+)
Granby,5193,5193,100.0,✅ Has Addresses (90%+)
Greenwich,19364,19364,100.0,✅ Has Addresses (90%+)
Griswold,4679,4679,100.0,✅ Has Addresses (90%+)
New Haven,393,393,100.0,✅ Has Addresses (90%+)
Watertown,9713,9713,100.0,✅ Has Addresses (90%+)
Canaan,929,929,100.0,✅ Has Addresses (90%+)
New hartford ,25,25,100.0,✅ Has Addresses (90%+)
Plainfield,6650,6650,100.0,✅ Has Addresses (90%+)
Barkhamsted,2014,2014,100.0,✅ Has Addresses (90%+)
Old Saybrook,7061,7061,100.0,✅ Has Addresses (90%+)
Sharon,2522,2522,100.0,✅ Has Addresses (90%+)
New britain,15737,15737,100.0,✅ Has Addresses (90%+)
Sherman,2669,2669,100.0,✅ Has Addresses (90%+)
North Branford,5787,5787,100.0,✅ Has Addresses (90%+)
Newington,12532,12532,100.0,✅ Has Addresses (90%+)
Harwinton,3372,3372,100.0,✅ Has Addresses (90%+)
Windsor,12192,12192,100.0,✅ Has Addresses (90%+)
Clinton,7014,7013,99.98574280011405,✅ Has Addresses (90%+)
Darien,7602,7600,99.97369113391213,✅ Has Addresses (90%+)
Orange,6089,6087,99.9671538840532,✅ Has Addresses (90%+)
Farmington,11218,11214,99.9643430201462,✅ Has Addresses (90%+)
Columbia,2635,2634,99.96204933586338,✅ Has Addresses (90%+)
East windsor,4945,4941,99.9191102123357,✅ Has Addresses (90%+)
Bridgewater,1113,1112,99.91015274034142,✅ Has Addresses (90%+)
Cheshire,10950,10939,99.89954337899543,✅ Has Addresses (90%+)
Suffield,6420,6413,99.89096573208722,✅ Has Addresses (90%+)
Woodbridge,3628,3624,99.88974641675854,✅ Has Addresses (90%+)
Berlin,18036,18014,99.87802173430916,✅ Has Addresses (90%+)
Southington,18482,18459,99.8755545936587,✅ Has Addresses (90%+)
New hartford,3471,3466,99.85594929415154,✅ Has Addresses (90%+)
East Haven,11313,11294,99.83205162202775,✅ Has Addresses (90%+)
Bloomfield,8476,8461,99.82302973100519,✅ Has Addresses (90%+)
Warren,1087,1085,99.81600735970562,✅ Has Addresses (90%+)
East granby,2130,2126,99.81220657276995,✅ Has Addresses (90%+)
Colebrook,999,997,99.7997997997998,✅ Has Addresses (90%+)
Lisbon,1927,1923,99.79242345614946,✅ Has Addresses (90%+)
East hartford,14284,14252,99.77597311677401,✅ Has Addresses (90%+)
Bethany,2464,2458,99.7564935064935,✅ Has Addresses (90%+)
Ellington,6098,6082,99.73761889143982,✅ Has Addresses (90%+)
Ansonia,5782,5766,99.72327914216534,✅ Has Addresses (90%+)
Middletown,15801,15755,99.70887918486171,✅ Has Addresses (90%+)
Bristol,21975,21903,99.67235494880546,✅ Has Addresses (90%+)
West Haven,16942,16886,99.6694605123362,✅ Has Addresses (90%+)
Goshen,2304,2296,99.65277777777779,✅ Has Addresses (90%+)
Groton,13062,13013,99.62486602357986,✅ Has Addresses (90%+)
Wolcott,6809,6783,99.61815244529299,✅ Has Addresses (90%+)
Stonington,10190,10148,99.58783120706575,✅ Has Addresses (90%+)
Middlebury,3459,3442,99.50852847643827,✅ Has Addresses (90%+)
Shelton,13297,13231,99.50364743927202,✅ Has Addresses (90%+)
Southbury,10194,10142,99.48989601726505,✅ Has Addresses (90%+)
Seymour,6650,6615,99.47368421052632,✅ Has Addresses (90%+)
Somers,3865,3843,99.43078913324709,✅ Has Addresses (90%+)
West hartford,22609,22478,99.42058472289797,✅ Has Addresses (90%+)
Milford,19408,19291,99.39715581203627,✅ Has Addresses (90%+)
Tolland,6523,6480,99.34079411313813,✅ Has Addresses (90%+)
Thomaston,3337,3314,99.31075816601738,✅ Has Addresses (90%+)
Hamden,16749,16630,99.28950982148189,✅ Has Addresses (90%+)
Washington,2616,2597,99.2737003058104,✅ Has Addresses (90%+)
Brookfield,7520,7464,99.25531914893617,✅ Has Addresses (90%+)
Windsor locks,5424,5383,99.24410029498524,✅ Has Addresses (90%+)
Trumbull,12151,12049,99.16056291663237,✅ Has Addresses (90%+)
Derby,3537,3507,99.1518235793045,✅ Has Addresses (90%+)
Simsbury,10625,10534,99.1435294117647,✅ Has Addresses (90%+)
New london,7297,7234,99.13663149239413,✅ Has Addresses (90%+)
Beacon falls,2158,2139,99.11955514365152,✅ Has Addresses (90%+)
Coventry,6821,6759,99.09104236915408,✅ Has Addresses (90%+)
Wilton,6443,6383,99.06875679031508,✅ Has Addresses (90%+)
Vernon,10080,9984,99.04761904761905,✅ Has Addresses (90%+)
